title,company,location,description,url
Data Science Manager,MathCo,"Bangalore, Karnataka","Job Responsibilities: As Manager-Data Science, you will be responsible for a wide range of engagements listed below: Collaborate with the Engagement Manager, Account Delivery Manager, and client stakeholders to gather business requirements for the project. Develop a comprehensive project plan that aligns with the scope and objectives of the project. Develop appropriate solution design that will help client achieve their goals. Assign delivery team members to different activities suited to their…",https://www.adzuna.in/land/ad/5881759556?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=324CB651F05A4682B057D614F4DB0A09128CC146
Director Data Science (BFSI),Tredence Inc.,"Bangalore, Karnataka","Job Summary We are seeking a dynamic and results-driven Director to lead Data Science (DS) delivery projects, combining deep expertise in data science methodologies with strong project management skills. The ideal candidate will have a strong track record of driving data-driven decision-making, managing end-to-end delivery of complex projects, and leading teams of data scientists and analysts in achieving business outcomes. Key Responsibilities Data Science Leadership: Drive end-to-end executio…",https://www.adzuna.in/land/ad/5864424062?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=27080216D9FE24DCE95EE7E3E6B49DFDF15D1521
Machine Learning,Wissen Technology,"Bangalore, Karnataka","Hi Shanon, As discussed we have one open req for AI role. The right skill set I am looking for is experience with RAG pipelines, Performance monitoring of prompts and tuning. Multi model RAG and agentic AI soon but not night away. Needless to say Python and the NLP lib experience is a must. Database knowledge is also essential. The developer needs to be in Morgan Stanley offices 3 days per week. BLR location is preferred, if not Mumbai is also fine. The duration is long term since we are lookin…",https://www.adzuna.in/details/5453280857?utm_medium=api&utm_source=11b8a45e
machine learning,staff hire solutions,"Bangalore, Karnataka","Design and implement cloud solutions, build MLOps on cloud (GCP) Build CI/CD pipelines orchestration by GitLab CI, GitHub Actions, Circle CI, Airflow or similar tools; Data science model review, run the code refactoring and optimization, containerization, deployment, versioning, and monitoring of its quality. Data science models testing, validation and test automation. Communicate with a team of data scientists, data engineers and architects, and document the processes. Required Qualifications:…",https://www.adzuna.in/details/3793256965?utm_medium=api&utm_source=11b8a45e
Assistant Professor,"Birla Institute of Technology and Science, Pilani","Bangalore, Karnataka","Post / Job Title: Assistant Professor Job Type: Full Time No. of Positions : 4 Department : Academic Location: Bangalore Role Overview: The incumbent will play a pivotal role in shaping and delivering high-quality, industry-aligned educational content for our online courses and programmes. The role will include curriculum development, teaching, assessment, and ensuring the overall quality of programme delivery. Faculty members will also manage a large pool of guest/adjunct faculty and teaching …",https://www.adzuna.in/land/ad/5846663519?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=D43032F56152A49A75402D2CD148527A014441BD
Quantitative Research Analyst,Groww,"Bangalore, Karnataka","About Groww: We are a passionate group of people focused on making financial services accessible to every Indian through a multi-product platform. Each day, we help millions of customers take charge of their financial journey. Customer obsession is in our DNA. Every product, every design, every algorithm down to the tiniest detail is executed keeping the customers’ needs and convenience in mind. Our people are our greatest strength. Everyone at Groww is driven by ownership, customer-centricity,…",https://www.adzuna.in/land/ad/5873278374?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=3915D568125DAA084491C5508758242AC9F478F4
Agentic AI Engineer,HP,"Bangalore, Karnataka","This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Agentic AI Engineer Description - Job Summary This role is responsible for leading the design and execution of advanced AI solutions using ML and NLP, solving highly complex problems through experimental research and deep technical expertise. It involves architecting large-scale systems for language processing, optimizin…",https://www.adzuna.in/land/ad/5847959683?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=44FCE51978FD48A3291A05FC0AFB8C9CBD5612B2
Data Scientist | 5 Years | Any UST Location | Immediate Joiner,UST,"Bangalore, Karnataka","Candidates ready to join immediately can share their details via email for quick processing.  CCTC | ECTC | Notice Period | Location Preference nitin.patil@ust.com Act fast for immediate attention! ⏳ Must-Have Skills: Strong experience in Data Science and Machine Learning Hands-on experience in Artificial Intelligence and Statistical Modeling Strong programming skills in Python or R Experience with Scikit-learn, Pandas, TensorFlow , or similar libraries Strong knowledge of Statistics, Probabili…",https://www.adzuna.in/land/ad/5864438981?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=DB7A3B158C98CA4CF77CB6EDCE5EBB10B7FB4211
Senior RTL Design Engineer,ACL Digital,"Bangalore, Karnataka","Hi All, Job Location: Bangalore Notice Period: 15 days to 30 Days Minimum: 5 Years 1.Experience in Low power RTL design, microarchitecture, synthesis, timing closure, Low power estimation. Should be proficient in Verilog. 2. Should have experience in optimization of microarchitecture and RTL for area and power reduction. Experience with Arithmetic units, Floating point datapath design is a plus. 3. Should have experience using ASIC design tools such as VCS, Verdi, Design Compiler. Knowledge of …",https://www.adzuna.in/land/ad/5301490162?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=78C50A2E9BBE969BA3287BD9EAF9671462AC9E07
Data Scientist,Kotak Mahindra Bank,"Bangalore, Karnataka","The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers. Responsibilities Analyze raw data: assessing quality, cleansing, structuring for downstream processing Design accurate and scalable prediction algorithms Collaborate with engineering team to bring analytical prototypes to production Generate act…",https://www.adzuna.in/land/ad/5864439103?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=73CFB6E1B4115AA2A23A99B0EC8886521BA01450
Senior Software Engineer,ABB,"Bangalore, Karnataka","This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Digital Solution Engineering Manager What we believe in ABB's Process …",https://www.adzuna.in/land/ad/5875904795?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=71A24A123AF899136ADDD4267FDFFE1D604A7B9A
Lead Data Scientist (Mgr II),eBay,"Bangalore, Karnataka","This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",https://www.adzuna.in/land/ad/5857251180?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=0F268D45FF5C9FF36CAD6131D185FA990D4F8034
Data Science Engineer - AI,HP,"Bangalore, Karnataka","This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Data Science Engineer - AI Description - Job Summary • This role is responsible for designing and developing advanced AI/ML solutions to solve complex business problems. The role applies deep technical expertise to build scalable models, data pipelines, and intelligent systems, while ensuring consistency, quality, and al…",https://www.adzuna.in/land/ad/5880523483?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=44AFB881700BC2524FE70C04638A2D65741F5C06
Senior Business Analyst,Moody's,"Bangalore, Karnataka","This job is with Moody's, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At Moody's, we unite the brightest minds to turn today’s risks into tomorrow’s opportunities. We do this by striving to create an inclusive environment where everyone feels welcome to be who they are—with the freedom to exchange ideas, think innovatively, and listen to each other and customers in meaningful ways. Mo…",https://www.adzuna.in/land/ad/5858537883?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=EF4B377D2EE0DE27A6E844E96CAD089295D1D417
"Senior Manager, Applied Research",eBay,"Bangalore, Karnataka","This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",https://www.adzuna.in/land/ad/5858538854?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=F3DE99AAD96D4F2942124B42388272F283B66B1C
Senior Data Engineer (Analyst/Scientist) - Remote,Kake,"Bangalore, Karnataka","Senior Data Engineer (Analyst/Scientist) - Remote Kake is a remote-first company and a people-first global community of senior engineers. Kake engineers are behind some of the world’s most innovative products (Brands you’ve heard!), from Fortune 500 to fast-growing companies. We believe it’s not where your table is, but what you bring to the table that matters. Our community spans 45,000 engineers across 55 countries; join a culture where great people stay, grow, and thrive (and love eating kak…",https://www.adzuna.in/land/ad/5864442505?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=6155ACC03125A8E4FD992DB648D4B5952CFF591B
Data Analyst,Ignisov Consulting Services,"Bangalore, Karnataka","Role: Data Analyst Job Type: Full-time (Hybrid) Job Location: Bangalore Experience: 6 years Notice Period: Immediate to 30 Days Job Description: Must have strong experience in the Manufacturing domain. Experience working with SAP and Non-SAP data. Strong knowledge of SQL and Python/R. Experience with Azure Data Factory (ADF) and Databricks. Strong understanding of Data Modelling, ETL, Data Mapping, and Data Quality. Experience with Power BI, Tableau, or Looker. Analyze large and complex dataset…",https://www.adzuna.in/land/ad/5876869978?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=072D1CE1CC72D0FC85E89D98E0B5C45236CC78D8
GCP Data Engineer - 5 to 10 years -PAN INDIA,Tata Consultancy Services,"Bangalore, Karnataka","Location: PAN INDIA Exp Range: 5 to 10 years Mode of Interview : Online Job Description A Google Cloud Platform (GCP) Data Engineer designs, builds, and maintains scalable data pipelines, data warehouses, and big data solutions on Google Cloud. They transform raw data into clean, accessible formats to power business analytics, reporting, and machine learning models. Key Responsibilities Data Pipeline Development: Build robust ETL/ELT data ingestion and processing workflows using services like C…",https://www.adzuna.in/land/ad/5864428871?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=6EE9C295551C642CF8E6766A1DF0362261C6CA33
Artificial Intelligence Business Architect,HP,"Bangalore, Karnataka","This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Artificial Intelligence Business Architect Description - The AI Business Architect is responsible for identifying, designing, and enabling AI-driven business transformations that deliver measurable business outcomes. This role serves as the link between business stakeholders, technology teams, data scientists, and enterp…",https://www.adzuna.in/land/ad/5847959758?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=F0A53D8B500B6646E11699BF411BDA04C81FECF1
Data Engineer,Tata Consultancy Services,"Bangalore, Karnataka","Role: Data Engineer Experience: 4 to 12 Years Location: PAN India Must Have Skills Strong experience in Python, SQL, and Spark Hands-on experience with ETL/ELT pipeline development Expertise in Data Modeling, Data Warehousing, and Data Lakes Experience with Cloud Platforms (AWS/Azure/GCP) Proficiency in Databricks, Hadoop, or Snowflake Strong knowledge of Apache Spark, Kafka, Airflow, or similar data tools Experience in building scalable and high-performance data pipelines Good understanding of…",https://www.adzuna.in/land/ad/5864439280?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=960D976B9E47F45725F4069AB0F883F3E458F99C
GCP Data Engineer,Tata Consultancy Services,"Bangalore, Karnataka","Job DescriptionAbout the Unit : TCS Data & Analytics is powering the AI revolution by transforming data into a strategic enterprise asset. Built on the philosophy of Smart Data for Smarter AI , it enables organisations to create intelligent, AI-ready ecosystems that accelerate innovation, unlock new value, and drive business transformation at scale. As AI reshapes industries, TCS is helping businesses turn data into their most powerful competitive advantage. :Role Name:MLOps Developer Exp req:4…",https://www.adzuna.in/land/ad/5879665355?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=94FECA6DADA0227B84C5B749BF11B527A1C18A6D
Machine Learning Engineer,SPG Consulting,"Cahmrajendrapet, Bangalore","Job Description – Machine Learning Engineer Position Machine Learning Engineer Experience 3–8 Years Job Summary We are looking for an experienced Machine Learning Engineer to design, develop, train, deploy, and maintain machine learning models and AI solutions. The ideal candidate should have strong expertise in Python, Machine Learning, Deep Learning, SQL, and MLOps , with experience working on end-to-end ML projects. Key Responsibilities Design and develop machine learning models for business…",https://www.adzuna.in/details/5848973578?utm_medium=api&utm_source=11b8a45e
Machine Learning Engineer,Deservely Technologies Pvt Ltd,"Bangalore, Karnataka","Machine Learning Engineer Location: Bangalore (2 days/office) Experience: 8 Years Employment Type: Contract Role Overview We are looking for an expert-level Machine Learning Engineer with strong hands-on expertise in Python to design, build, deploy, and optimize production-grade ML systems. The ideal candidate should combine deep ML knowledge with strong software engineering, system design, and MLOps capabilities. Mandatory Skills • 8 years of professional experience in Machine Learning / ML En…",https://www.adzuna.in/details/5849116294?utm_medium=api&utm_source=11b8a45e
SAP BRIM CI Convergent Invoicing Consultant,360 Technology,"Bangalore, Karnataka",SAP BRIM CI Convergent Invoicing Consultant Experience : 7 Years Location : Pan India : Hybrid Job Description : We are seeking an experienced SAP BRIM Convergent Invoicing CI Consultant with strong expertise in SAP BRIM processes billing and invoicing solutions integration with Subscription Order Management Convergent Charging FICA and Revenue Accounting The consultant will support end to end implementations enhancements integrations testing and production support activities Key Responsibiliti…,https://www.adzuna.in/land/ad/5864430228?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=581C373A4126DD68A2A9063EB9E01DADE11DEF56
Senior Data Scientist,AB InBev GCC India,"Bangalore, Karnataka","Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",https://www.adzuna.in/land/ad/5881767844?se=cDX-xPax8RGW7Jd0wGJW9Q&utm_medium=api&utm_source=11b8a45e&v=D7F27207728BEB9BAD7432822504C0510C21241D
